"tk","territory","lat","lon"
"11256","ΠΛΑΤΕΙΑ ΚΟΛΙΑΤΣΟΥ ΚΥΨΕΛΗ","38.0100651","23.7325715"
"11257","ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ ΚΥΨΕΛΗ","38.0026161","23.7334402"
"11361","ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ","38.0026203","23.7312462"
"11362","ΚΥΨΕΛΗ","37.9968987","23.740664000000002"
"11363","ΝΕΑ ΚΥΨΕΛΗ","37.99841320000001","23.7469201"
"11364","ΑΜΠΕΛΟΚΗΠΟΙ","38.005758510869825","23.74395720580926"
"11471","ΝΕΑΠΟΛΗ ΑΘΗΝΑΣ","37.98432929999999","23.732948"
"11472","ΝΕΑΠΟΛΗ ΑΘΗΝΑΣ","37.98432929999999","23.732948"
"11473","ΝΕΑΠΟΛΗ ΑΘΗΝΑΣ","37.98432929999999","23.732948"
"11474","ΓΚΥΖΗ","37.9909165","23.745949300000003"
"11475","ΓΚΥΖΗ","37.9909165","23.745949300000003"
"11476","ΓΚΥΖΗ","37.9909165","23.745949300000003"
"11521","ΕΥΑΓΓΕΛΙΣΜΟΣ","37.9800129","23.7484385"
"11522","ΑΜΠΕΛΟΚΗΠΟΙ ΓΚΥΖΗ","40.681937299999994","22.9333079"
"11523","ΑΜΠΕΛΟΚΗΠΟΙ","37.9891078","23.763438600000004"
"11524","ΑΜΠΕΛΟΚΗΠΟΙ","37.9891078","23.763438600000004"
"11525","ΕΛΛΗΝΟΡΡΩΣΩΝ","37.9967282","23.774901"
"11526","ΕΡΥΘΡΟΣ ΣΤΑΥΡΟΣ","37.9919459","23.772459"
"11527","ΜΙΧΑΛΑΚΟΠΟΥΛΟΥ","37.980943599999996","23.7576755"
"11528","ΜΙΧΑΛΑΚΟΠΟΥΛΟΥ","37.980943599999996","23.7576755"
"11631","ΓΟΥΒΑ","37.9591224","23.7359473"
"11632","ΓΟΥΒΑ","37.9591224","23.7359473"
"11633","ΠΑΓΚΡΑΤΙ","37.9716429","23.74728829999999"
"11634","ΠΑΓΚΡΑΤΙ","37.9716429","23.7472883"
"11635","ΣΤΑΔΙΟΑΘΗΝΑ","37.9697566","23.7399832"
"11636","1ο ΝΕΚΡΟΤΑΦΕΙΟ ΑΘΗΝΩΝ","37.9641069","23.7341246"
"11741","ΚΟΥΚΑΚΙ","37.9665736","23.724985399999998"
"11742","ΦΙΛΟΠΠΑΠΟΥ","37.9657156","23.7144061"
"11743","ΚΥΝΟΣΑΡΓΟΥΣ","37.96258870000001","23.7306539"
"11744","ΝΕΟΣ ΚΟΣΜΟΣ","37.95689649999999","23.7246066"
"11745","ΝΕΟΣ ΚΟΣΜΟΣ","37.95689649999999","23.7246066"
"11851","ΘΗΣΕΙΟ","37.9758184","23.719245"
"11852","ΠΕΤΡΑΛΩΝΑ ΑΝΩ","37.9683465","23.7116423"
"11853","ΠΕΤΡΑΛΩΝΑ ΚΑΤΩ","37.9719133","23.7069358"
"11854","ΡΟΥΦ ΚΑΤΩ ΠΕΤΡΑΛΩΝΑ","37.98422300000001","23.6923609"
"11855","ΒΟΤΑΝΙΚΟΣ","37.9823937","23.6961977"
"12131","ΠΕΡΙΣΤΕΡΙΒΙΑΜΑΞ","37.99941629999999","23.6901635"
"12132","ΠΕΡΙΣΤΕΡΙ ΝΕΑ ΚΟΛΟΚΥΝΘ","38.0061651","23.7068523"
"12133","ΝΕΑ ΣΕΠΟΛΙΑ ΠΕΡΙΣΤΕΡ","38.0151396","23.704609899999998"
"12134","ΠΕΡΙΣΤΕΡΙ","38.0117014","23.6957128"
"12135","ΠΕΡΙΣΤΕΡΙ","38.0226558","23.688004199999998"
"12136","ΠΕΡΙΣΤΕΡΙ","38.0078308","23.6823818"
"12137","ΠΕΡΙΣΤΕΡΙ ΝΕΑ ΖΩΗ","37.9996433","23.6859723"
"12241","ΑΙΓΑΛΕΩ","37.9894728","23.6789292"
"12242","ΑΙΓΑΛΕΩ ΣΩΤΗΡΑΚΗ","37.9959694569943","23.68676097505545"
"12243","ΑΙΓΑΛΕΩ ΑΝΑΓΕΝΝΗΣΗ","38.002842","23.6796924"
"12244","ΑΙΓΑΛΕΩ","37.9910674","23.6707902"
"12351","ΑΓΙΑ ΒΑΡΒΑΡΑ","37.9890595","23.6569691"
"12461","ΧΑΙΔΑΡΙ","38.00529810000001","23.6642751"
"12462","ΧΑΙΔΑΡΙ ΔΑΣΟΣ","38.0159263","23.6476468"
"13121","ΝΕΑ ΛΙΟΣΙΑ ΠΑΛΑΤΙΑΝΗ","38.0269674","23.6925299"
"13122","ΝΕΑ ΛΙΟΣΙΑ ΑΓΙΑ ΦΑΝΟΥΡΙ","38.0203126","23.7095937"
"13123","ΝΕΑ ΛΙΟΣΙΑ","38.03747070000001","23.697886399999998"
"13231","ΠΕΤΡΟΥΠΟΛΗ","38.0423558","23.6842658"
"13232","ΠΕΤΡΟΥΠΟΛΗ","38.0379734","23.6928868"
"13341","ΑΝΩ ΛΙΟΣΙΑ","38.0807098","23.706754999999998"
"13342","ΜΕΝΙΔΙ","38.0737425","23.704817499999997"
"13343","ΜΕΝΙΔΙ","38.0879825","23.6957867"
"13344","ΑΝΩ ΛΙΟΣΙΑ","38.0682525","23.7049521"
"13351","ΦΥΛΗ","38.102909","23.6690367"
"13451","ΖΕΦΥΡΙ","38.0708633","23.7082439"
"13461","ΖΕΦΥΡΙ","38.0656555","23.719126199999998"
"13501","ΖΕΦΥΡΙ","38.0656555","23.719126199999998"
"13561","ΑΓΙΑ ΑΝΑΡΓΥΡΟΙ","38.0281846","23.718402899999997"
"13562","ΑΓΙΑ ΑΝΑΡΓΥΡΟΙ","38.0368388","23.7276852"
"13671","ΠΑΡΝΗΘΑ ΦΥΛΗ","38.1660001","23.6743801"
"13672","ΜΕΝΙΔΙ","38.0852204","23.738064"
"13673","ΜΕΝΙΔΙ","38.08469520000001","23.740659899999997"
"13674","ΜΕΝΙΔΙ","38.0920609","23.732925899999998"
"13675","ΜΕΝΙΔΙ","38.0838408","23.7348483"
"13676","ΜΕΝΙΔΙ","38.1303168","23.758726899999996"
"13677","ΟΛΥΜΠΙΑΚΟ ΧΩΡΙΟ","38.1101145","23.768349100000002"
"13678","ΟΛΥΜΠΙΑΚΟ ΧΩΡΙΟ","38.1115783","23.7631177"
"13679","ΟΛΥΜΠΙΑΚΟ ΧΩΡΙΟ","38.10791920000001","23.7631182"
"14121","ΗΡΑΚΛΕΙΟ ΝΕΑ ΗΡΑΚΛΕΙΟ","38.0472708","23.7714547"
"14122","ΗΡΑΚΛΕΙΟ","38.0511604","23.7680577"
"14123","ΜΕΤΑΜΟΡΦΩΣΗ ΛΥΚΟΒΡΥΣ","38.0673903","23.7813182"
"14231","ΝΕΑ ΙΩΝΙΑ ΙΩΝΙΑ","38.0441541","23.7501561"
"14232","ΝΕΑ ΙΩΝΙΑ","38.0330559","23.749811800000003"
"14233","ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ","38.0314024","23.7618449"
"14234","ΝΕΑ ΙΩΝΙΑ ΕΛΕΥΘΕΡΟΥΠΟΛ","38.0410095","23.757866800000002"
"14235","ΝΕΑ ΙΩΝΙΑ ΚΑΛΟΓΡΕΖΑ","38.0350363","23.775992499999997"
"14341","ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ","38.033916","23.737403"
"14342","ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ","38.0452058","23.742242899999997"
"14343","ΝΕΑ ΧΑΛΚΗΔΟΝΑ","38.0293616","23.7329608"
"14451","ΜΕΤΑΜΟΡΦΩΣΗ","38.0556442","23.7583685"
"14452","ΜΕΤΑΜΟΡΦΩΣΗ","38.0622969","23.7599103"
"14561","ΣΤΑΘΜΟΣ ΗΣΑΠ ΚΗΦΙΣΙΑ","38.0739486","23.8060457"
"14562","ΚΗΦΙΣΙΑ","38.0722402","23.8139199"
"14563","ΚΗΦΙΣΙΑ ΠΟΛΙΤΕΙΑ","38.0872794","23.8308952"
"14564","ΚΗΦΙΣΙΑ ΝΕΑ ΚΗΦΗΣΙΑ","38.09562929999999","23.7913435"
"14565","ΑΓΙΟΣ ΣΤΕΦΑΝΟΣ","38.141707","23.858688600000004"
"14568","ΚΡΥΟΝΕΡΙ","38.13607070000001","23.8290729"
"14569","ΑΝΟΙΞΗ","38.1317568","23.8603199"
"14572","ΔΡΟΣΙΑ","38.119756","23.8661305"
"14574","ΡΟΔΟΠΟΛΗ","38.1167583","23.8760815"
"14575","ΣΤΑΜΑΤΑ","38.1261246","23.8707783"
"14576","ΔΙΟΝΥΣΟΣ","38.0987438","23.8790184"
"14578","ΕΚΑΛΗ","38.1008771","23.8350796"
"14671","ΝΕΑ ΕΡΥΘΡΑΙΑ","38.0926493","23.8200477"
"15121","ΠΕΥΚΗ Κ.ΠΕΥΚΗ","38.0529489","23.79056"
"15122","ΜΑΡΟΥΣΙ ΑΜΑΛΙΕΙΟ ΟΡΦ","38.05495620000001","23.807655"
